Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-22,NYSE American (A),6394014.000000,23745497.000000,8134251.000000,38273762.000000,416731993.003700,365243619.901600,580015829.828400,1361991442.733700,72411,88152,84913,245476
2026-09-22,NASDAQ Texas (B),10909919.000000,12083763.000000,26133739.000000,49127421.000000,842729664.162100,611604305.875000,1431417970.246600,2885751940.283700,148506,76196,224187,448889
2026-09-22,NYSE National (C),20976177.000000,10978232.000000,26074862.000000,58029271.000000,915700434.083700,519463661.276700,1011744587.637600,2446908682.998000,269005,75807,252653,597465
2026-09-22,FINRA / Nasdaq TRF Chicago (DB),14666851.783955,10154756.474374,39081341.686278,63902949.944607,946039863.540585,512147825.052995,3770964545.394347,5229152233.987927,136719,58948,329448,525115
2026-09-22,FINRA / NYSE TRF (DN),114228082.234616,94640924.451656,311247492.342016,520116499.028288,6946178773.513692,5000379107.107101,14156190246.694463,26102748127.315256,879067,439545,1569026,2887638
2026-09-22,FINRA / Nasdaq TRF Carteret (DQ),2396680359.484324,1815709156.143180,4979728081.292084,9192117596.919588,134572856400.406264,121320792190.505597,261982356345.310208,517876004936.222069,22019664,6343199,30948279,59311142
2026-09-22,Texas Stock Exchange (F),6906430.000000,4870058.000000,23990109.000000,35766597.000000,212486604.998900,185206909.960300,431328882.539900,829022397.499100,56229,27700,115248,199177
2026-09-22,24X National Exchange (G),1140777.000000,2198513.000000,3573776.000000,6913066.000000,58965984.788000,71904646.814200,226243349.063600,357113980.665800,11673,10457,33204,55334
2026-09-22,MIAX Pearl (H),20824842.000000,32819322.000000,62258958.000000,115903122.000000,1053721000.697900,1498280702.715800,2051817414.716201,4603819118.129901,219077,180365,400090,799532
2026-09-22,EDGA Equities (J),28593317.000000,22259350.000000,95540686.000000,146393353.000000,1588659120.910300,1253246029.721200,2426433322.952200,5268338473.583700,389143,151468,588397,1129008
2026-09-22,EDGX Equities (K),144293596.000000,171199360.000000,357018564.000000,672511520.000000,8122779407.863396,8004112389.609996,20962031868.506418,37088923665.979810,1575691,1069330,3066810,5711831
2026-09-22,LTSE (L),902650.000000,299695.000000,871404.000000,2073749.000000,40122273.960000,16153976.673700,37383919.033500,93660169.667200,9434,1988,24623,36045
