Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2026-09-23,Texas Stock Exchange (F),5085174.000000,5003686.000000,14695321.000000,24784181.000000,150228546.174600,231044277.315700,322290828.766000,703563652.256300,35766,26980,71080,133826
2026-09-23,NASDAQ (Q),454261810.000000,279085414.000000,1619054490.000000,2352401714.000000,25296635778.804300,20613827544.079008,128161365156.528381,174071828479.411689,6220039,1972941,11739762,19932742
2026-09-22,Texas Stock Exchange (F),6906430.000000,4870058.000000,23990109.000000,35766597.000000,212486604.998900,185206909.960300,431328882.539900,829022397.499100,56229,27700,115248,199177
2026-09-22,NASDAQ (Q),448649497.000000,250085940.000000,1732196926.000000,2430932363.000000,25959086211.956501,17979777250.341703,139543500554.416541,183482364016.714745,6258363,1750450,11967281,19976094
2026-09-21,Texas Stock Exchange (F),6102332.000000,4125592.000000,15441891.000000,25669815.000000,178005271.040000,168449500.227700,456839365.345400,803294136.613100,47607,25567,105114,178288
2026-09-21,NASDAQ (Q),402595549.000000,230673091.000000,1757732828.000000,2391001468.000000,22182249005.324207,17560968949.632405,154574913189.394764,194318131144.351376,5608164,1638408,11975211,19221783
2026-09-18,Texas Stock Exchange (F),5964836.000000,3266104.000000,20142457.000000,29373397.000000,185675428.923900,176759216.903000,354568937.832900,717003583.659800,53090,21159,99681,173930
2026-09-18,NASDAQ (Q),442546893.000000,223430106.000000,4775848383.000000,5441825382.000000,25114340810.496604,16115154707.056108,372547883293.953884,413777378811.506596,5918269,1567794,11792507,19278570
2026-09-17,Texas Stock Exchange (F),5274963.000000,3350257.000000,29553613.000000,38178833.000000,156404081.947200,128389138.163400,322237492.031100,607030712.141700,43914,23123,103514,170551
2026-09-17,NASDAQ (Q),402162459.000000,198905406.000000,1684384437.000000,2285452302.000000,22413422887.399105,15586078706.436593,131389477451.415362,169388979045.251060,5532595,1474194,11040385,18047174
2026-09-16,Texas Stock Exchange (F),6154425.000000,4251242.000000,13866897.000000,24272564.000000,218169537.778100,202327373.817700,412380663.560600,832877575.156400,58984,26393,107184,192561
2026-09-16,NASDAQ (Q),452764290.000000,286510236.000000,1756443099.000000,2495717625.000000,25150031313.874313,23249918611.647904,121253674699.929419,169653624625.451636,6344148,1982904,11623364,19950416
2026-09-15,Texas Stock Exchange (F),6252017.000000,3320687.000000,12960890.000000,22533594.000000,205933220.425500,132199044.442500,294763465.707300,632895730.575300,59843,18394,92037,170274
2026-09-15,NASDAQ (Q),426220337.000000,222194212.000000,1464198525.000000,2112613074.000000,24040196828.713100,16245901085.546797,104856215768.373927,145142313682.633824,6144750,1518570,10746150,18409470
2026-09-14,Texas Stock Exchange (F),5613765.000000,3476762.000000,10950060.000000,20040587.000000,197790525.934300,172883397.827000,312878784.241600,683552708.002900,56673,22127,93048,171848
2026-09-14,NASDAQ (Q),435913089.000000,278157498.000000,1495629238.000000,2209699825.000000,25874789703.490898,20436353912.960496,129518561664.743611,175829705281.195005,6195773,1966939,11722420,19885132
2026-09-11,Texas Stock Exchange (F),5492452.000000,4716432.000000,10848781.000000,21057665.000000,177599438.561800,132233249.509900,270443504.913800,580276192.985500,50322,21041,82760,154123
2026-09-11,NASDAQ (Q),399820125.000000,224881988.000000,1399661215.000000,2024363328.000000,21752149184.936292,17426474777.572203,107452125617.115216,146630749579.623711,5306077,1579812,9686607,16572496
2026-09-10,Texas Stock Exchange (F),6126272.000000,3553990.000000,11449036.000000,21129298.000000,181648996.531800,153233483.250600,318257939.058900,653140418.841300,54365,22145,87937,164447
2026-09-10,NASDAQ (Q),416905614.000000,257987774.000000,1462354186.000000,2137247574.000000,22939796651.581301,19073431145.808608,119908941223.807328,161922169021.197237,5744004,1868879,10580231,18193114
2026-09-09,Texas Stock Exchange (F),5071727.000000,2631216.000000,14321206.000000,22024149.000000,152850703.906800,105609942.653600,298592950.775300,557053597.335700,43421,14724,80468,138613
2026-09-09,NASDAQ (Q),415556101.000000,211726361.000000,1465878628.000000,2093161090.000000,23237971716.382081,15684464298.065697,113684524115.452545,152606960129.900323,5721292,1538097,11157960,18417349
2026-09-08,Texas Stock Exchange (F),4669498.000000,2999780.000000,9692832.000000,17362110.000000,161829063.764700,119585556.478900,327966522.144500,609381142.388100,42703,16722,74642,134067
2026-09-08,NASDAQ (Q),403609232.000000,238843538.000000,1654085898.000000,2296538668.000000,23837160164.929909,17849756139.654710,132429811221.760425,174116727526.345044,5676049,1720420,11973107,19369576
2026-09-04,Texas Stock Exchange (F),3839059.000000,3606264.000000,10443913.000000,17889236.000000,125628618.971300,105074867.064400,263303293.701000,494006779.736700,35674,17280,71301,124255
2026-09-04,NASDAQ (Q),357288783.000000,217040162.000000,1328679535.000000,1903008480.000000,21112613880.103184,15597115709.447608,123717887713.396859,160427617302.947651,5127519,1514257,10548075,17189851
2026-09-03,Texas Stock Exchange (F),4918034.000000,3693571.000000,10757729.000000,19369334.000000,125882195.341500,128387966.478200,236735252.462900,491005414.282600,42621,21005,71013,134639
2026-09-03,NASDAQ (Q),397307950.000000,232935548.000000,1492410228.000000,2122653726.000000,23097084495.144995,17261294065.934602,119901203736.638920,160259582297.718517,5573127,1658831,10878697,18110655
2026-09-02,Texas Stock Exchange (F),4490266.000000,3335755.000000,8659721.000000,16485742.000000,136483345.437500,104156141.558700,225180129.816700,465819616.812900,39482,19343,68945,127770
2026-09-02,NASDAQ (Q),395787953.000000,225876365.000000,1463234996.000000,2084899314.000000,23857599932.394887,16514196865.585495,106242533533.357777,146614330331.338159,5839381,1644313,10631620,18115314
2026-09-01,Texas Stock Exchange (F),5258390.000000,3340691.000000,9147428.000000,17746509.000000,172974210.484600,120134041.130200,275099750.084600,568208001.699400,49037,18055,79284,146376
2026-09-01,NASDAQ (Q),404943145.000000,242839045.000000,1433476801.000000,2081258991.000000,24268284364.664199,18989558999.690596,115377188976.872142,158635032341.226937,5907183,1839580,10482588,18229351
2026-08-31,Texas Stock Exchange (F),4113898.000000,3556421.000000,9567404.000000,17237723.000000,96036545.052700,104279972.406800,192356153.770000,392672671.229500,32191,14717,64287,111195
2026-08-31,NASDAQ (Q),392906729.000000,218044000.000000,1859345219.000000,2470295948.000000,22444330062.696703,16278075027.438012,161888486405.850802,200610891495.985517,5694057,1587335,10122073,17403465
2026-08-28,Texas Stock Exchange (F),3494795.000000,2539800.000000,6067271.000000,12101866.000000,93285239.763300,85600711.143600,203223742.753200,382109693.660100,24827,10205,39271,74303
2026-08-28,NASDAQ (Q),376596852.000000,266635604.000000,1447527245.000000,2090759701.000000,21902598866.371597,20320445949.971899,119674085508.998135,161897130325.341631,5618414,2075425,10740811,18434650
2026-08-27,Texas Stock Exchange (F),3025432.000000,3380325.000000,6579477.000000,12985234.000000,83229434.475000,69803206.083000,212074494.952500,365107135.510500,23017,7912,37388,68317
2026-08-27,NASDAQ (Q),370671478.000000,236096088.000000,1470394712.000000,2077162278.000000,23238592660.747912,15253375167.670494,131726921811.713526,170218889640.131932,5485743,1760433,11432019,18678195
2026-08-26,Texas Stock Exchange (F),3622658.000000,1787440.000000,5884819.000000,11294917.000000,104077104.492400,38844525.005000,140105992.117900,283027621.615300,26786,5712,32352,64850
2026-08-26,NASDAQ (Q),344104555.000000,203031289.000000,1279146839.000000,1826282683.000000,21643103639.518297,13164517971.241704,101251352183.985044,136058973794.745045,5220125,1505117,9733664,16458906
2026-08-25,Texas Stock Exchange (F),2831663.000000,1793000.000000,4845579.000000,9470242.000000,75339033.290000,51028343.690000,125457617.064300,251824994.044300,19439,7032,26199,52670
2026-08-25,NASDAQ (Q),353362774.000000,214079928.000000,1372694860.000000,1940137562.000000,21677443384.646802,15559589651.284990,99776555764.527027,137013588800.458819,5246465,1629251,9863378,16739094
2026-08-24,Texas Stock Exchange (F),2427261.000000,4184790.000000,5453234.000000,12065285.000000,56975002.920000,58947277.420000,125286423.061700,241208703.401700,13968,5965,24745,44678
2026-08-24,NASDAQ (Q),363530489.000000,249661222.000000,1460052566.000000,2073244277.000000,21987359343.787000,16373312313.693210,114996490578.318555,153357162235.798765,5487320,1943988,10880182,18311490
2026-08-21,Texas Stock Exchange (F),3343207.000000,2117432.000000,6685425.000000,12146064.000000,88163298.162800,46090266.025000,127251488.050800,261505052.238600,21735,5120,33217,60072
2026-08-21,NASDAQ (Q),379254034.000000,257664665.000000,1601143878.000000,2238062577.000000,23308848684.960985,17026620998.199201,120681785526.089089,161017255209.249275,5606793,1861193,10926646,18394632
2026-08-20,Texas Stock Exchange (F),3989999.000000,1640308.000000,6627866.000000,12258173.000000,87986397.798400,42827452.025000,155940192.124200,286754041.947600,22351,5741,32967,61059
2026-08-20,NASDAQ (Q),419654202.000000,290784224.000000,1600386823.000000,2310825249.000000,25425993488.524212,19794443773.772190,116719088052.872771,161939525315.169173,6245537,2046488,11948956,20240981
2026-08-19,Texas Stock Exchange (F),4049519.000000,2874116.000000,7719206.000000,14642841.000000,109314799.135000,69635917.580000,204200237.489700,383150954.204700,25549,7543,41533,74625
2026-08-19,NASDAQ (Q),452983337.000000,320522498.000000,1739499671.000000,2513005506.000000,27880972704.416102,20445288275.203699,139420158606.291743,187746419585.911544,6504040,2330500,13767997,22602537
2026-08-18,Texas Stock Exchange (F),3201210.000000,1797451.000000,6272806.000000,11271467.000000,83443620.390000,69774517.905000,155005349.474500,308223487.769500,21642,6265,33811,61718
2026-08-18,NASDAQ (Q),384113990.000000,249859383.000000,1579833076.000000,2213806449.000000,24514316861.710684,18430882569.837101,140475898787.703037,183421098219.250822,6046891,1975170,12669562,20691623
2026-08-17,Texas Stock Exchange (F),2329515.000000,1514201.000000,5185556.000000,9029272.000000,63575198.887400,46642789.020000,136018489.788200,246236477.695600,15485,5151,26108,46744
2026-08-17,NASDAQ (Q),368814563.000000,218984311.000000,1523361392.000000,2111160266.000000,22109349657.497694,15268911432.148600,122214508951.851349,159592770041.497643,5549199,1676569,11685457,18911225
2026-08-14,Texas Stock Exchange (F),4693343.000000,2558944.000000,8517089.000000,15769376.000000,98280692.790000,55367348.630000,176481462.361000,330129503.781000,33184,8834,53476,95494
2026-08-14,NASDAQ (Q),362491925.000000,221840484.000000,1428730902.000000,2013063311.000000,20607516859.451511,13525439673.075405,111578856032.088643,145711812564.615559,6370237,2589521,13476338,22436096
2026-08-13,Texas Stock Exchange (F),7956627.000000,2155064.000000,12673180.000000,22784871.000000,156258331.140000,61133841.480000,244884249.537900,462276422.157900,47598,11987,74954,134539
2026-08-13,NASDAQ (Q),421187105.000000,258140724.000000,1668513281.000000,2347841110.000000,24711953422.590607,16290948919.523904,133084941752.742950,174087844094.857461,6153401,2113050,13038392,21304843
2026-08-12,Texas Stock Exchange (F),6879691.000000,1765102.000000,11555099.000000,20199892.000000,141434390.845000,44750324.425000,204046065.416200,390230780.686200,47068,11823,69603,128494
2026-08-12,NASDAQ (Q),408992163.000000,257675236.000000,1705360048.000000,2372027447.000000,24008510805.055820,15947908335.041089,134100481671.253560,174056900811.350469,7268651,3090826,15167181,25526658
2026-08-11,Texas Stock Exchange (F),2383838.000000,1006339.000000,4383581.000000,7773758.000000,49451679.425000,26554278.535000,96089792.688600,172095750.648600,10896,4676,20128,35700
2026-08-11,NASDAQ (Q),412333104.000000,228112289.000000,1589562236.000000,2230007629.000000,21903707566.455193,14049569082.852705,115186195979.325744,151139472628.633642,7146878,2639817,14124565,23911260
2026-08-10,Texas Stock Exchange (F),2119973.000000,1688402.000000,3830784.000000,7639159.000000,48578092.340000,42056960.205000,147366710.521500,238001763.066500,10566,8013,20496,39075
2026-08-10,NASDAQ (Q),432885853.000000,256148013.000000,1699770807.000000,2388804673.000000,24517236700.874393,15987914479.878909,126829460946.328484,167334612127.081786,7670964,2981232,15033505,25685701
2026-08-07,Texas Stock Exchange (F),2922730.000000,14395662.000000,4991049.000000,22309441.000000,57411803.310300,262898183.195000,197746962.873700,518056949.379000,12025,36976,23313,72314
2026-08-07,NASDAQ (Q),468752388.000000,300914886.000000,1734305255.000000,2503972529.000000,25995925732.530003,18284560799.575505,129925638935.714356,174206125467.819864,7785438,3326542,15566151,26678131
2026-08-06,Texas Stock Exchange (F),3338847.000000,12623741.000000,3714110.000000,19676698.000000,56956176.505000,232950969.495000,135779737.535700,425686883.535700,12396,31354,21985,65735
2026-08-06,NASDAQ (Q),505801828.000000,269334677.000000,1830500644.000000,2605637149.000000,29013547153.597398,18414437338.105701,138962990158.701727,186390974650.404826,8691726,3239650,16579275,28510651
2026-08-05,Texas Stock Exchange (F),3268952.000000,7200696.000000,3776296.000000,14245944.000000,58625865.825000,151163915.135000,157811267.821500,367601048.781500,13150,23302,21115,57567
2026-08-05,NASDAQ (Q),554694989.000000,309832798.000000,1860094041.000000,2724621828.000000,32277145054.876295,21489412447.041796,151622081074.321385,205388638576.239476,9324025,3549684,17176045,30049754
2026-08-04,Texas Stock Exchange (F),2682761.000000,10047958.000000,3224503.000000,15955222.000000,59565157.095000,196060549.995000,175688267.927400,431313975.017400,12314,46193,23042,81549
2026-08-04,NASDAQ (Q),564104262.000000,321946257.000000,2138787971.000000,3024838490.000000,34427526726.290815,25741972134.310095,197507208189.685961,257676707050.286871,9323532,3497088,17689675,30510295
2026-08-03,Texas Stock Exchange (F),3471035.000000,25058213.000000,5674751.000000,34203999.000000,73624746.295000,328470379.735000,175770344.050800,577865470.080800,13600,64278,28737,106615
2026-08-03,NASDAQ (Q),482603623.000000,267169860.000000,1908812836.000000,2658586319.000000,28771610837.981684,21118837230.421100,155227331978.167178,205117780046.569962,8023761,3056062,16157507,27237330
2026-07-31,Texas Stock Exchange (F),3668254.000000,21248803.000000,5957298.000000,30874355.000000,99210081.988300,420295974.160100,198037000.819000,717543056.967400,17552,76154,36930,130636
2026-07-31,NASDAQ (Q),496768932.000000,338302514.000000,2074193629.000000,2909265075.000000,29391641894.486988,24649429693.701691,179254315498.016279,233295387086.204958,7947309,3438706,16487734,27873749
2026-07-30,Texas Stock Exchange (F),1808346.000000,1185525.000000,2465865.000000,5459736.000000,82067019.270000,44155133.830000,196684934.335000,322907087.435000,12028,9837,22235,44100
2026-07-30,NASDAQ (Q),542325607.000000,330994247.000000,1935834618.000000,2809154472.000000,34230884903.580589,24977284204.681798,195381717320.634393,254589886428.896780,7805585,2601698,16156801,26564084
2026-07-29,Texas Stock Exchange (F),2224996.000000,832410.000000,2644154.000000,5701560.000000,75883636.095000,51162722.135000,171201698.757600,298248056.987600,14182,8122,22833,45137
2026-07-29,NASDAQ (Q),604293649.000000,385006602.000000,1894042760.000000,2883343011.000000,38251354950.881714,29493501364.587508,166839026388.885403,234583882704.354625,8654161,3103223,16821041,28578425
2026-07-28,Texas Stock Exchange (F),2144118.000000,582357.000000,2844748.000000,5571223.000000,82621693.775000,33359167.110000,161634768.628000,277615629.513000,17570,5665,27165,50400
2026-07-28,NASDAQ (Q),553142965.000000,273622735.000000,1785862736.000000,2612628436.000000,36776374796.373611,20378836256.413600,154911494024.838172,212066705077.625383,8127110,2285204,15683139,26095453
